regime,n,mean_ret_fwd1,median_ret_fwd1,std_ret_fwd1,hit_rate_fwd1,sharpe_d_fwd1
Bull impulse,9000,0.011271624276491804,-0.0012068012433910091,0.100550138891487,0.49444444444444446,0.11209953960039837
Sell-off / drawdown,49210,0.006807391116103064,0.00863385818921314,0.06303530689564221,0.5681771997561471,0.10799330488503858
Blow-off rally / parabolic,43470,0.0032736689755989822,-0.0040318206423908265,0.0599547689216138,0.463768115942029,0.05460231161726351
Calm / normal,156120,4.6805786102039243E-4,-1.1482461319456405E-4,0.03946846107635223,0.4984627209838586,0.011859034992900499
Choppy high-vol sideways,76470,-2.1127517441138843E-4,-0.002131035282372906,0.0673688879579938,0.48398064600496926,-0.0031360941350720207
