regime,n,mean_ret,median_ret,std_ret,hit_rate,sharpe_d
Bull impulse,9000,0.08594528004729465,0.11211835848958268,0.08416132761460103,0.83,1.0211968190528415
Blow-off rally / parabolic,43550,0.0794846934144249,0.06907318771053084,0.03738638545116718,1.0,2.1260331121938787
Choppy high-vol sideways,76510,0.005964359821769672,0.003955281210964223,0.0444070956525936,0.5425434583714547,0.13431096391509503
Calm / normal,156210,-0.0012750734689526563,-0.0010247812399528655,0.01957861609863969,0.4796107803597721,-0.06512582209736711
Sell-off / drawdown,49210,-0.07836690905659546,-0.07178172428431973,0.03378598548635385,4.06421459053038E-4,-2.3195093447325323
