regime,avg_ret_1d_w,avg_zscore_7,avg_ret_std_7,avg_ret_std_30,avg_ma_gap_7,avg_ma_gap_30,n
Blow-off rally / parabolic,0.07948469341442264,2.1476420276430077,0.044018592835950325,0.0504436841487691,0.07337236036900328,0.09687985371236306,21775
Bull impulse,0.08594528004729465,0.45523066234063064,0.08897144089093237,0.07829653568315222,0.35677764528948286,1.1963689563048272,4500
Calm / normal,-0.001275073468952655,-0.05902995025087721,0.03220299908185525,0.03740072880079336,-0.0010851259309378391,-0.001849097398720232,78105
Choppy high-vol sideways,0.005964359821769661,0.037126116019918574,0.07833636390346069,0.07413685911735932,0.009702940457837237,0.07444353501229085,38255
Sell-off / drawdown,-0.07836690905659657,-1.7465332964366076,0.05336491989700197,0.05890572843157266,-0.08203470531185923,-0.08638440740617834,24605
