regime,Calm / normal,Choppy high-vol sideways,Sell-off / drawdown,Blow-off rally / parabolic,Bull impulse
Blow-off rally / parabolic,8715,4935,3445,4060,580
Bull impulse,25,1210,375,5,2880
Calm / normal,60545,145,7655,9680,25
Choppy high-vol sideways,1650,23725,7750,4130,915
Sell-off / drawdown,7145,8115,5335,3900,85
