symbol,regime,num_runs,mean_len,p50_len,p90_len,max_len
BNB_x1,Choppy high-vol sideways,120,2.625,2,5,9
BNB_x1,Sell-off / drawdown,157,1.2420382165605095,1,2,4
BNB_x2,Blow-off rally / parabolic,162,1.2407407407407407,1,2,4
BNB_x2,Bull impulse,13,4.461538461538462,3,7,18
BNB_x2,Calm / normal,155,4.258064516129032,2,12,24
BNB_x2,Choppy high-vol sideways,120,2.625,2,5,9
BNB_x2,Sell-off / drawdown,157,1.2420382165605095,1,2,4
BNB_x3,Blow-off rally / parabolic,162,1.2407407407407407,1,2,4
BNB_x3,Bull impulse,13,4.461538461538462,3,7,18
BNB_x3,Calm / normal,155,4.258064516129032,2,12,24
BNB_x3,Choppy high-vol sideways,120,2.625,2,5,9
BNB_x3,Sell-off / drawdown,157,1.2420382165605095,1,2,4
BNB_x4,Blow-off rally / parabolic,162,1.2407407407407407,1,2,4
BNB_x4,Bull impulse,13,4.461538461538462,3,7,18
BNB_x4,Calm / normal,155,4.258064516129032,2,12,24
BNB_x4,Choppy high-vol sideways,120,2.625,2,5,9
BNB_x4,Sell-off / drawdown,157,1.2420382165605095,1,2,4
BTC,Blow-off rally / parabolic,289,1.193771626297578,1,2,4
BTC,Bull impulse,5,2.6,1,6,6
BTC,Calm / normal,401,5.720698254364089,3,13,46
BTC,Choppy high-vol sideways,39,1.794871794871795,1,4,5
BTC,Sell-off / drawdown,214,1.1962616822429906,1,2,4
BTC_x1,Blow-off rally / parabolic,289,1.193771626297578,1,2,4
BTC_x1,Bull impulse,5,2.6,1,6,6
BTC_x1,Calm / normal,401,5.720698254364089,3,13,46
BTC_x1,Choppy high-vol sideways,39,1.794871794871795,1,4,5
BTC_x1,Sell-off / drawdown,214,1.1962616822429906,1,2,4
BTC_x2,Blow-off rally / parabolic,289,1.193771626297578,1,2,4
BTC_x2,Bull impulse,5,2.6,1,6,6
BTC_x2,Calm / normal,401,5.720698254364089,3,13,46
BTC_x2,Choppy high-vol sideways,39,1.794871794871795,1,4,5
BTC_x2,Sell-off / drawdown,214,1.1962616822429906,1,2,4
BTC_x3,Blow-off rally / parabolic,289,1.193771626297578,1,2,4
BTC_x3,Bull impulse,5,2.6,1,6,6
BTC_x3,Calm / normal,401,5.720698254364089,3,13,46
BTC_x3,Choppy high-vol sideways,39,1.794871794871795,1,4,5
BTC_x3,Sell-off / drawdown,214,1.1962616822429906,1,2,4
BTC_x4,Blow-off rally / parabolic,289,1.193771626297578,1,2,4
BTC_x4,Bull impulse,5,2.6,1,6,6
BTC_x4,Calm / normal,401,5.720698254364089,3,13,46
BTC_x4,Choppy high-vol sideways,39,1.794871794871795,1,4,5
BTC_x4,Sell-off / drawdown,214,1.1962616822429906,1,2,4
CRO,Blow-off rally / parabolic,114,1.1228070175438596,1,2,3
CRO,Bull impulse,4,4.0,2,8,8
CRO,Calm / normal,113,4.371681415929204,3,9,32
CRO,Choppy high-vol sideways,65,2.3230769230769233,2,5,9
CRO,Sell-off / drawdown,107,1.2429906542056075,1,2,3
CRO_x1,Blow-off rally / parabolic,114,1.1228070175438596,1,2,3
CRO_x1,Bull impulse,4,4.0,2,8,8
CRO_x1,Calm / normal,113,4.371681415929204,3,9,32
CRO_x1,Choppy high-vol sideways,65,2.3230769230769233,2,5,9
CRO_x1,Sell-off / drawdown,107,1.2429906542056075,1,2,3
