regime,Calm / normal,Choppy high-vol sideways,Sell-off / drawdown,Blow-off rally / parabolic,Bull impulse
Blow-off rally / parabolic,0.4002296211251435,0.22663605051664754,0.1582089552238806,0.18645235361653273,0.02663605051664753
Bull impulse,0.0055617352614015575,0.26918798665183535,0.08342602892102335,0.0011123470522803114,0.6407119021134594
Calm / normal,0.7752737051027595,0.001856712977783469,0.09802164030987899,0.12395159741340675,3.2012292720404634E-4
Choppy high-vol sideways,0.04320502749410841,0.621235925634983,0.20293270489656978,0.10814349306101073,0.023959151610369208
Sell-off / drawdown,0.29068348250610254,0.33014646053702196,0.21704637917005695,0.15866558177379983,0.0034580960130187145
