regime,n,mean_ret,median_ret,std_ret,hit_rate,sharpe_d
Bull impulse,4500,0.08594528004729465,0.11211835848958268,0.08416600415324368,0.83,1.0211400780154822
Blow-off rally / parabolic,21775,0.07948469341442264,0.06907318771053084,0.037386814703610896,1.0,2.126008702387418
Choppy high-vol sideways,38255,0.005964359821769661,0.003955281210964223,0.04440738586375186,0.5425434583714547,0.13431008616605264
Calm / normal,78105,-0.001275073468952655,-0.0010249972253291162,0.019578678766956334,0.4796107803597721,-0.065125613639703
Sell-off / drawdown,24605,-0.07836690905659657,-0.07178172428431973,0.03378632878230023,4.06421459053038E-4,-2.319485776674586
