regime,Calm / normal,Choppy high-vol sideways,Sell-off / drawdown,Blow-off rally / parabolic,Bull impulse
Blow-off rally / parabolic,1743,987,689,812,116
Bull impulse,5,242,75,1,576
Calm / normal,12109,29,1531,1936,5
Choppy high-vol sideways,330,4745,1550,826,183
Sell-off / drawdown,1429,1623,1067,780,17
