regime,n,mean_ret_fwd1,median_ret_fwd1,std_ret_fwd1,hit_rate_fwd1,sharpe_d_fwd1
Bull impulse,900,0.011271624276491811,-0.0012068012433910091,0.10060045729381492,0.49444444444444446,0.11204346957958419
Sell-off / drawdown,4921,0.006807391116103122,0.008640000616753019,0.0630410720564148,0.5681771997561471,0.10798342880354665
Blow-off rally / parabolic,4347,0.003273668975598977,-0.0040318206423908265,0.0599609765261642,0.463768115942029,0.05459665878140759
Calm / normal,15612,4.6805786102039633E-4,-1.332053482743234E-4,0.039469598771023066,0.4984627209838586,0.011858693161178647
Choppy high-vol sideways,7647,-2.1127517441138827E-4,-0.002131035282372906,0.06737285279026169,0.48398064600496926,-0.0031359095787306004
