regime,n,mean_ret_fwd1,median_ret_fwd1,std_ret_fwd1,hit_rate_fwd1,sharpe_d_fwd1
Bull impulse,900,0.011271624276491782,-0.0012068012433910091,0.10060045729381492,0.49444444444444446,0.1120434695795839
Sell-off / drawdown,4921,0.006807391116103117,0.008640000616753019,0.06304107205641485,0.5681771997561471,0.10798342880354649
Blow-off rally / parabolic,4347,0.003273668975598979,-0.0040318206423908265,0.05996097652616416,0.463768115942029,0.05459665878140766
Calm / normal,15612,4.680578610203948E-4,-1.332053482743234E-4,0.03946959877102304,0.4984627209838586,0.011858693161178616
Choppy high-vol sideways,7647,-2.1127517441138702E-4,-0.002131035282372906,0.06737285279026171,0.48398064600496926,-0.0031359095787305805
