regime,avg_ret_1d_w,avg_zscore_7,avg_ret_std_7,avg_ret_std_30,avg_ma_gap_7,avg_ma_gap_30,n
Blow-off rally / parabolic,0.0794846934144249,2.147642027643036,0.044018592835950804,0.05044368414876865,0.07337236036900177,0.09687985371236234,43550
Bull impulse,0.08594528004729465,0.4552306623406284,0.08897144089093273,0.0782965356831526,0.3567776452894843,1.1963689563048299,9000
Calm / normal,-0.0012750734689526563,-0.05902995025087663,0.032202999081855754,0.03740072880079281,-0.0010851259309378081,-0.0018490973987202635,156210
Choppy high-vol sideways,0.005964359821769672,0.037126116019919345,0.0783363639034621,0.07413685911735901,0.009702940457837225,0.07444353501228929,76510
Sell-off / drawdown,-0.07836690905659546,-1.7465332964366085,0.05336491989700171,0.058905728431571776,-0.0820347053118587,-0.08638440740617694,49210
