k,ma_gap_30,ma_gap_7,ret_1d_w,ret_std_30,ret_std_7,zscore_7
0,0.04580636690525601,-0.01734198923543732,-0.04582781477310132,0.05309695802258546,0.0503319350474834,-1.1181921903024445
1,0.03038485214694657,0.005664548583418147,0.006543402100914027,0.05162907954807853,0.05129902875982918,0.13140793806079445
2,0.0970515914301108,0.057144460129775136,0.06503007892584858,0.05223784568875096,0.04711217045964182,1.5388227309227729
3,0.013916065307344823,-0.05459492225915516,-0.08946587174316854,0.04604575851235996,0.030662154366693915,-3.616020269724225
4,0.0847064211924253,0.08679295214203256,0.10358296856834034,0.04236984593871924,0.025674026300362016,4.8161290858802746
