regime,avg_ret_1d_w,avg_zscore_7,avg_ret_std_7,avg_ret_std_30,avg_ma_gap_7,avg_ma_gap_30,n
Blow-off rally / parabolic,0.07948469341442331,2.1476420276430144,0.04401859283595018,0.05044368414876912,0.07337236036900321,0.09687985371236307,4355
Bull impulse,0.08594528004729445,0.45523066234062853,0.0889714408909326,0.07829653568315242,0.3567776452894822,1.1963689563048259,900
Calm / normal,-0.0012750734689526678,-0.05902995025087646,0.03220299908185523,0.03740072880079263,-0.001085125930937835,-0.001849097398720216,15621
Choppy high-vol sideways,0.005964359821769646,0.0371261160199188,0.07833636390346048,0.07413685911735986,0.009702940457837263,0.07444353501229113,7651
Sell-off / drawdown,-0.07836690905659435,-1.7465332964366065,0.053364919897001636,0.05890572843157231,-0.0820347053118592,-0.0863844074061781,4921
